question,answer
maybe you should come and work with me,"['someday', ',', 'i', 'i', 'i', 'is', 'is', 'all', '.', '.']"
i need an accountant though,"['i', 'sing', 'in', 'in', 'every', '.', '.', '.', '.', '.']"
"yes , that sounds great .","['someday', ',', 'my', 'is', '.', '.', '.', '.', '.', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
hi how are you doing ?,"['my', ',', 'makes', 'i', 'i', 'is', '.', '.', '.', '.']"
i am good thanks for asking,"['i', 'live', 'released', 'in', 'is', 'volley', '.', '.', '.', '.']"
i work at an art gallery,"['i', 'have', 'once', 'when', 'is', 'monkey', '.', '.', '.', '.']"
yes when i donate my stuff,"['although', ',', 'i', 'is', 'is', 'me', '.', '.', '.', '.']"
"no i do n't , do you ?","['although', 'i', 'will', 'i', 'i', 'i', 'in', 'in', '.', '.']"
what do you do for a living ?,"['regular', 'makes', ',', 'i', 'i', 'is', 'is', 'all', '.', '.']"
what are you going to school for ?,"['regular', 'is', 'my', 'i', 'i', 'is', 'is', 'all', '.', '.']"
what city are you from ?,"['although', ',', 'i', 'i', 'volley', 'is', '.', '.', '.', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
hi . how s the weather where you are ?,"['my', 'scare', 'i', 'i', 'i', 'is', 'in', 'in', 'or', 'all']"
that 's great . i just got back with mine . he 's a lab . what s yours ?,"['until', 'scare', 'i', 'i', 'i', 'is', 'me', '.', '.', '.']"
when i used to fly i was always glad to get home to my best friend .,"['when', 'name', 'i', 'i', 'comes', 'is', 'in', 'in', 'or', 'or']"
i used too . i retired to southern new mexico .,"['i', 'volunteer', 'in', 'when', 'every', '.', '.', '.', '.', '.']"
at least you have parents . mine died when i was young .,"['the', 'rules', ',', 'are', 'i', 'is', 'all', 'every', '.', '.']"
its ok . you take what life gives you .,"['its', 'rules', 'makes', 'i', 'i', 'is', 'me', '.', '.', '.']"
that is a good thing . i hope you are not sad often .,"[""i'ven"", 'makes', 'makes', 'i', 'i', 'is', 'all', '.', '.', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
what are your plans for this evening,"['regular', 'cleats', 'i', 'i', 'i', 'is', 'me', '.', '.', '.']"
that is cool how do you like it,"['someday', ',', 'i', 'i', 'i', 'is', 'is', 'all', '.', '.']"
yeah i bet it can get borning,"['although', 'i', 'has', 'i', 'i', 'is', 'in', '.', '.', '.']"
play sports and i like to bake,"['grandpa', 'makes', 'makes', 'i', 'is', 'is', 'me', '.', '.', '.']"
i love soccer and basket ball,"['i', 'like', 'playing', 'in', 'are', 'volley', '.', '.', '.', '.']"
i hate video games,"['i', 'wear', 'in', 'slackware', '.', '.', '.', '.', '.', '.']"
cookies pies cakes and cup cakes,"['although', 'scare', 'i', 'is', 'is', 'is', '.', '.', '.', '.']"
applied and pumpkin is my all top favorite,"['regular', ',', 'my', 'i', 'i', 'is', 'is', 'all', '.', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
hello i am michelle . how are you ?,"['regular', ',', 'i', 'i', 'i', 'is', 'me', '.', '.', '.']"
doing well . just hanging out this morning have been editing my book .,"['my', 'rules', ',', ',', 'i', 'is', 'is', 'all', '.', '.']"
i live in toledo . i do not get out of the house much .,"['i', 'live', 'in', 'is', 'and', 'and', 'for', 'football', '.', '.']"
sounds like we have got that in common . my depression is bad so i do n't get out much .,"['nachos', 'likes', 'i', 'i', 'i', 'and', 'in', 'all', '.', '.']"
i do i have got a cat named muffles . she just turned 16 .,"['i', 'do', 'for', 'to', 'and', 'and', 'a', 'a', '.', '.']"
what a precious name . i 'm not sure what i 'm going to do when she passes on .,"['until', 'a', 'makes', 'i', 'is', 'is', 'me', '.', '.', '.']"
i 'd but i am going to move places soon so i am not sure .,"['i', 'don', 'too', 'for', 'comes', 'volley', 'for', 'touches', 'is', 'for']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
"i can not wait , winter is coming up .","['i', 'can', 'too', 'for', 'comes', 'for', 'for', '.', '.', '.']"
"it is my favorite season , great for napping .","['helping', 'is', 'makes', 'is', 'is', 'is', 'is', 'is', '.', '.']"
and between naps i can watch basketball .,"['and', 'scare', ',', 'i', 'i', 'is', 'me', '.', '.', '.']"
i am a cat person .,"['i', 'live', 'is', 'in', '.', '.', '.', '.', '.', '.']"
i sing in a barbershop quartet .,"['i', 'play', 'as', 'in', 'a', 'z', '.', '.', '.', '.']"
i also rap when the mood suits me .,"['i', 'work', 'for', 'in', 'comes', 'and', 'a', '.', '.', '.']"
"a few , a lot of videos on youtube","['the', 'rules', 'i', 'i', 'comes', 'is', 'in', 'in', 'or', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
"my past is n't stable , i 'm an adopted baby","['my', 'wonder', 'is', 'are', 'i', 'and', 'is', 'in', 'or', 'or']"
"hi how are you today , i do n't like the future","['until', 'cleats', 'i', 'i', 'i', 'is', 'is', 'in', 'in', 'all']"
"yes , how did you know ? six .","['until', 'after', 'i', 'i', 'i', 'is', 'in', '.', '.', '.']"
"since my past is not good , i worry about the future .","['since', 'my', 'my', 'i', 'i', 'is', 'is', 'all', 'or', 'or']"
"my mother is always at home , and father is at hp","['my', 'enjoy', 'is', 'in', 'in', 'and', 'a', 'in', 'or', 'or']"
"i will try to exercise , thanks for the tip","['i', 'don', 'i', 'to', 'comes', 'volley', 'for', 'touches', 'for', '.']"
"i do a lot of that myself , but i want to build muscles instead","['i', 'do', 'in', 'in', 'and', 'and', 'a', 'a', 'or', 'or']"
"345 lbs , i can only bench press 100 the most !","['regular', 'my', 'my', 'i', 'is', 'is', 'in', 'in', 'in', 'all']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
"hello , how are you today ?","['although', ',', 'i', 'is', 'is', 'is', 'me', '.', '.', '.']"
"good , its saturday so i am going kayaking today .","['regular', 'of', 'i', 'i', 'is', 'is', 'in', 'in', 'in', '.']"
"that sounds fun , after kayaking i need to study for a test on monday .","[""i'ven"", 'scare', 'i', 'i', 'i', 'is', 'in', 'in', 'or', 'all']"
"so you are done with school , what do you do ?","['my', ',', 'i', 'i', 'comes', 'is', 'in', 'in', 'or', 'or']"
"oh , duh . i bet you have a lot of friends .","['until', ',', 'i', 'i', 'i', 'is', 'is', 'in', 'in', '.']"
"i do n't trust people . i make friends quickly , but find it hard to keep them .","['i', 'do', 'in', 'in', 'and', 'and', 'a', '.', '.', '.']"
"yeah , it makes me nervous . i almost have no nails now from anxious biting .","['regular', ',', 'i', 'i', 'i', 'is', 'is', 'all', 'hot', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
i can get you a free coffee if you come by the shop where i work,"['i', 'can', 'too', 'for', 'comes', 'for', 'for', 'a', 'or', 'or']"
"i suggest the caramel cappuccino , it is my favorite","['i', 'help', 'that', 'for', 'comes', 'and', 'for', 'every', 'for', 'animations']"
well i guess as a grad student i 'm a bit pretentious . but i 'm nice,"['its', 'rules', 'i', 'i', 'i', 'is', 'in', 'in', 'or', 'all']"
yes i will . i am an english major . i read true crime and want to write it,"['someday', ',', 'i', 'i', 'i', 'is', 'in', 'all', '.', '.']"
you must be very religious . my parents are too . i live across from them,"['regular', 'makes', 'makes', 'is', 'is', 'is', 'is', 'all', '.', '.']"
i trust in the coffee bean lol,"['i', 'notice', 'makes', 'i', 'comes', 'and', 'every', '.', '.', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
"hi , how are you doing today ?","['my', ',', 'i', 'i', 'i', 'is', 'is', 'all', '.', '.']"
oh no ! i hope you find one soon . i work as a transcriptionist .,"['until', ',', 'my', 'i', 'i', 'is', 'is', 'all', '.', '.']"
i ca nt think of any . have any hobbies ?,"['i', 'drink', 'like', 'for', 'in', 'and', 'for', 'every', '.', '.']"
that 's interesting . i enjoy going to the opera .,"['until', 'scare', 'i', '.', '.', '.', '.', '.', '.', '.']"
awesome ! i love traveling to paris as well .,"['until', 'cleats', 'my', 'i', 'i', 'i', 'in', 'in', '.', '.']"
"i like cars , my top car is a bentley .","['i', 'like', 'equally', 'are', 'are', 'and', 'and', 'in', 'and', '.']"
"not yet , but hopefully one day .","['its', 'after', 'i', 'i', 'volley', 'volley', 'every', '.', '.', '.']"
"maybe i will , dreams come too sometimes , right ?","['someday', ',', 'i', 'i', 'i', 'is', 'in', 'in', 'or', 'or']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
hi how are you doing,"['someday', ',', 'makes', 'is', 'essential', '.', '.', '.', '.', '.']"
that is nice are you an artist,"['someday', 'scare', 'my', 'i', 'i', 'is', 'me', '.', '.', '.']"
is that your job or your hobby,"['everyday', 'name', 'i', 'i', 'is', 'is', 'is', '.', '.', '.']"
i work a lot at a restuarant not a lot of free time,"['i', 'work', 'in', 'with', 'and', 'and', 'for', 'a', 'or', 'or']"
i work there do you have kids,"['i', 'work', 'for', 'when', 'and', 'and', 'living', '.', '.', '.']"
that is funny i 've a young daughter,"['someday', 'in', ',', 'i', 'i', 'is', 'in', 'in', 'in', '.']"
it is nice but kids are a lot of work,"['many', 'makes', 'makes', 'i', 'is', 'is', 'is', 'in', 'or', 'all']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
good evening man . how are you,"['although', 'is', 'is', 'is', 'is', 'is', '.', '.', '.', '.']"
what are you up to this evening ?,"['regular', 'is', 'my', 'i', 'i', 'is', 'is', 'in', '.', '.']"
something light would be good . i am about to raid my parents fridge,"['sometimes', ',', 'makes', 'i', 'is', 'is', 'every', '.', '.', '.']"
i am a college student . almost done with my degree ! ! !,"['i', 'am', 'in', 'in', 'in', 'local', 'for', 'a', '.', '.']"
pre law . i met my girlfriend there . her name is luis .,"['it', 'makes', 'is', 'is', 'is', 'every', '.', '.', '.', '.']"
newark . where are you from,"['and', ',', 'my', 'i', 'is', 'volley', '.', '.', '.', '.']"
not yet . i eventually want to drive my ford mustang there .,"['people', 'rules', 'makes', 'i', 'i', 'and', 'all', 'every', '.', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
hi how are you doing,"['someday', ',', 'makes', 'is', 'essential', '.', '.', '.', '.', '.']"
i am good thanks for asking,"['i', 'live', 'released', 'in', 'is', 'volley', '.', '.', '.', '.']"
what do you do for a living ?,"['regular', 'makes', ',', 'i', 'i', 'is', 'is', 'all', '.', '.']"
i am a starving student lol,"['i', 'live', 'is', 'in', 'in', 'and', '.', '.', '.', '.']"
no they could care less,"['relly', ',', ',', 'is', 'volley', '.', '.', '.', '.', '.']"
they 're not good parents,"['someday', ',', 'makes', 'is', 'is', '.', '.', '.', '.', '.']"
its ok i am so used to it,"['its', 'rules', 'makes', 'i', 'i', 'is', 'in', '.', '.', '.']"
i have to be used to it . . . its all i know,"['i', 'wear', 'for', 'for', 'for', 'every', '.', '.', '.', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
hello !,"['ivie', '.', 'is', '.', '.', '.', '.', '.', '.', '.']"
my day was good . it is starting to cool off here,"['my', 'released', 'is', 'is', 'every', '.', '.', '.', '.', '.']"
what kind of doctor are you ? are you in sports medicine ?,"['until', 'rules', 'makes', 'i', 'is', 'is', 'is', 'in', 'or', 'or']"
i am a competitive skier . so i always need a good doctor,"['i', 'am', 'in', 'in', 'in', 'local', 'for', 'a', 'or', 'or']"
me too ! but i hate heights . is not life ironic ?,"['regular', 'rules', 'my', 'i', 'i', 'is', 'in', '.', '.', '.']"
"no kids , i am too busy , unfortunately","['regular', 'my', 'i', 'is', 'is', 'is', 'in', 'in', '.', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
hello from kansas ! its farmer bill,"['regular', 'makes', 'i', 'i', 'is', 'is', 'me', '.', '.', '.']"
me too ! love that farmers almanac ! do you watch reality tv ?,"['until', 'rules', ',', 'i', 'i', 'is', 'in', 'in', 'in', 'all']"
horror movies or tv ? i like both i suppose,"['watching', 'makes', 'is', 'is', 'is', 'is', 'is', 'in', 'is', 'all']"
they are pretty good . i 've alot of time for movies while i am out of work,"['ocd', 'rules', 'makes', 'is', 'addiction', '.', '.', '.', '.', '.']"
lucky you . i 'd love to busy all day working . one day again i suppose,"['regular', 'cleats', ',', 'i', 'i', 'is', 'is', 'all', 'in', '.']"
"i have only read one of his books , pet sematary . scary ! i like to read on the beach","['i', 'have', 'sometimes', 'in', 'are', 'volley', 'for', 'for', 'for', '.']"
"ya , not many in kansas ! just on pacay . i would love to move to hawaii one day","['until', 'of', 'i', 'i', 'is', 'is', 'in', 'in', 'in', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
"hi there , do you enjoy spring as much as me ?","['until', 'cleats', 'i', 'i', 'i', 'is', 'is', 'in', 'in', 'all']"
it is my favorite time to fish .,"['helping', 'is', 'makes', 'is', 'is', 'is', 'me', '.', '.', '.']"
fish killed my father when i was two years old .,"['whittling', 'is', 'makes', 'is', 'is', 'is', 'in', 'in', 'for', '.']"
i 've sworn to spear all the fish i come across .,"['i', 'notice', 'are', 'for', 'i', 'and', 'for', 'a', 'for', 'all']"
"no , i give those the death stare with my piercing blue eyes ! !","['regular', ',', 'i', 'i', 'i', 'is', 'is', 'in', 'or', 'or']"
"they killed my father , they must prepare to die !","['regular', 'is', 'i', 'i', 'i', 'is', 'is', 'in', 'or', 'or']"
all i 'm saying is that i 'm ready to grill some fish .,"['someday', ',', 'i', 'i', 'i', 'and', 'in', 'in', 'or', 'or']"
alright take it easy . . . fish tacos ! !,"['until', 'cleats', 'is', 'is', '.', '.', '.', '.', '.', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
do you know the best place to take dogs for a walk ?,"['its', 'rules', 'i', 'i', 'volley', 'is', 'in', 'in', 'in', 'all']"
i live in the city . but i love a good farmers market .,"['i', 'live', 'in', 'to', 'in', 'local', 'for', 'football', '.', '.']"
"i live in new york , not too far .","['i', 'live', 'in', 'is', 'and', 'and', 'for', 'a', '.', '.']"
do you have any children ?,"['although', 'is', 'makes', 'is', 'volley', 'is', '.', '.', '.', '.']"
i have over a dozen grand kids .,"['i', 'have', 'during', 'for', 'comes', 'z', '.', '.', '.', '.']"
have you had that long ?,"['i', 'scare', 'makes', 'are', 'is', 'is', '.', '.', '.', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
i just dyed my hair . do you know how long it will take to look not fake ?,"['i', 'just', 'for', 'in', 'wwii', '.', '.', '.', '.', 'in']"
i dyed it black for a role .,"['i', 'drink', 'like', 'for', 'in', 'and', 'every', '.', '.', '.']"
probably going to go rock climbing before it gets too cold .,"['winter', ',', ',', 'i', 'i', 'is', 'is', 'all', 'or', 'all']"
starved rock is my favorite place to go .,"['winter', 'is', 'makes', 'i', 'is', 'is', 'is', 'all', '.', '.']"
i like to go there and write some poetry . it is relaxing .,"['i', 'like', 'in', 'for', 'are', 'volley', 'for', 'a', 'for', 'all']"
it has been raining pretty hard .,"['it', ',', ',', 'i', 'are', 'me', '.', '.', '.', '.']"
sam is fine . a little shaken up .,"['winter', 'is', 'makes', 'i', 'i', 'is', 'all', '.', '.', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
"hello , how are you doing today ?","['although', 'is', 'i', 'i', 'i', 'is', 'is', 'all', '.', '.']"
"stressed honestly , i need to be on a beach somewhere instead of work .","['grandma', 'is', 'is', 'i', 'i', 'and', 'is', 'all', 'or', 'all']"
i would go anywhere at this point i 've been working 80 hours weeks .,"['i', 'don', 'deeply', 'for', 'comes', 'volley', 'for', 'a', 'a', 'for']"
none ever does anything right so i do it over to get it perfect .,"['sometimes', 'i', 'has', 'i', 'comes', 'is', 'in', 'in', 'or', 'or']"
"yes , that 's why i am always the first one in and last to leave .","['until', 'cleats', 'i', 'i', 'is', 'is', 'is', 'in', 'or', 'or']"
are you a basketball player ?,"['regular', 'is', 'i', 'i', 'i', 'comes', '.', '.', '.', '.']"
too much time is spent at work that i do not have time .,"['people', 'rules', ',', 'i', 'i', 'and', 'in', 'in', 'or', 'or']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
"person i come from a poor family who loves nature and beauty , and have faith in fairytales","['someday', ',', 'i', 'i', 'i', 'and', 'in', 'in', 'or', 'or']"
"being poor i learned that yoga helps ease the mind , so i practice and hike .","['until', 'cleats', 'i', 'i', 'is', 'is', 'is', 'in', 'or', 'or']"
me too . and i love animals and am obsessed with them like really love them ya know,"['regular', 'cleats', ',', 'i', 'i', 'is', 'in', 'all', 'or', 'all']"
"do n't you wish the animals would become more human ? like in fairytales , so i can love them","['people', 'takes', 'makes', 'are', 'i', 'and', 'in', 'in', 'or', 'or']"
"i can not get off the animals , i am obsessed . my keeps telling me to get off them .","['i', 'can', 'too', 'for', 'comes', 'for', 'for', 'a', 'a', '.']"
i just love them animals so much it hurts me sometimes .,"['i', 'drive', 'in', 'with', 'and', 'local', 'for', 'a', 'for', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
hello ! how are you ?,"['regular', 'is', 'is', 'is', 'is', 'is', '.', '.', '.', '.']"
i play baseball . i am pretty darn good at it .,"['i', 'play', 'in', '.', '.', '.', '.', '.', '.', '.']"
teachers are amazing . how fast do you pitch ?,"['regular', 'in', 'makes', 'are', 'is', 'is', 'is', 'every', '.', '.']"
so you work with kids . have any of your own ?,"['my', ',', 'i', 'i', 'is', 'teachers', '.', '.', '.', '.']"
"how sweet . i have three kids , too .","['regular', 'i', 'my', 'i', 'i', 'is', 'is', '.', '.', '.']"
"oh no , maam . i am good at swingin a bat and stealing second . that is about it .","['until', 'is', 'is', 'is', '.', '.', '.', '.', 'last', '.']"
"my first son is going to be great . someday he will play for the orioles , too .","['my', 'found', 'makes', 'are', 'i', 'and', 'and', 'every', '.', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
hi ! let us get to know one another ! tell me something cool about yourself !,"['until', 'cleats', 'i', 'i', 'i', 'is', 'in', 'in', 'or', 'or']"
nice to meet you steve ! i 'm harsh on myself . are you ?,"['until', 'cleats', 'my', 'i', 'volley', 'is', 'is', 'in', 'or', 'all']"
cool . sadly i do n't like myself . do you like yourself ?,"['my', 'scare', 'are', 'i', 'i', 'is', 'me', '.', '.', '.']"
interesting . do you like your reputation ? i do n't like mine .,"['it', 'likes', 'makes', 'i', 'i', 'i', 'in', 'in', 'or', 'or']"
"oh i see . do you ever think about moving ? i do , it is what i want .","['someday', ',', 'has', 'i', 'i', 'is', 'is', 'in', 'or', 'or']"
it is a bad habit . do you like feeling controlled . i really do not .,"['it', 'is', 'makes', 'i', 'is', 'is', 'me', '.', '.', '.']"
i might try that ! there is one mistake i wish could be taken back .,"['i', 'help', 'in', 'for', 'comes', 'and', 'for', 'a', 'for', 'all']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
how are you ? threw my tv out for good . reading more now,"['cher', 'makes', 'makes', 'are', 'is', 'is', 'is', 'in', 'for', '.']"
trying to get ideas for teaching my students composition in painting,"['grandma', 'is', 'is', 'i', 'i', 'is', 'is', 'all', 'or', 'or']"
i need a loan too . my girlfriend left me and she left me broke,"['i', 'draw', 'in', 'for', 'sundays', 'and', 'for', 'a', 'every', '.']"
well maybe you can teach french to us citizens .,"['the', 'after', 'i', 'i', 'i', 'and', 'for', 'all', '.', '.']"
is that your favourite dish ?,"['everyday', ',', 'i', 'is', 'is', 'volley', '.', '.', '.', '.']"
are you homeless ? i know people are always looking for esl teachers .,"['helping', 'is', 'is', 'i', 'i', 'is', 'is', 'all', 'or', 'or']"
no . no pets . my girlfriend wanted sole custody of our dog,"['although', 'i', 'i', 'i', 'is', '.', '.', '.', '.', '.']"
i wanted to go vegan and also throw away the tv . i guess just different life directions,"['i', 'think', 'i', 'i', 'comes', 'volley', 'for', 'a', 'for', 'fair']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
hey .,"['i', 'later', '.', 'is', 'is', '.', '.', '.', '.', '.']"
"i am good thanks , how about you ?","['i', 'live', 'like', 'in', 'are', 'and', 'and', 'a', 'in', '.']"
"i just did the same , i had a hearty lunch .","['i', 'have', 'for', 'in', 'comes', 'for', 'for', 'a', 'a', '.']"
"a very large meal , chinese food mainly .","['in', 'rules', ',', 'i', 'i', 'and', 'in', '.', '.', '.']"
"fish but it gets a bit awkward , i love to swim .","['regular', 'in', 'makes', 'is', 'is', 'is', 'is', 'in', 'for', 'all']"
oh great . i love the facebook app it lets me connect .,"['until', 'cleats', 'i', 'i', 'i', 'is', 'is', 'in', 'in', '.']"
i love to see my friends on there my social life is very important,"['i', 'love', 'is', 'is', 'is', 'and', 'and', 'a', 'and', 'or']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
"hello , what are your hobbies i like to ride horses","['until', 'death', 'i', 'i', 'is', 'is', 'is', 'in', 'in', 'all']"
"nice , my parents adopted me at 2 years of age","[""i'ven"", 'my', 'my', 'i', 'i', 'is', 'is', 'in', 'in', 'all']"
"they could n't have kids , so i am the only kid in my family","['until', 'a', ',', 'i', 'i', 'is', 'is', 'in', 'or', 'all']"
"that 's cool , are you married ? do you believe in love ? because i do not","[""i'ven"", 'cleats', 'my', 'i', 'i', 'is', 'in', 'in', 'in', 'all']"
wow that must have been cramped,"['now', 'cleats', 'is', 'is', 'volley', 'every', '.', '.', '.', '.']"
so i guess love is n't for you ? i like beer myself,"['i', ',', 'i', 'i', 'i', 'and', 'in', 'in', 'or', 'or']"
"i see , that 's probably for the best","['i', 'help', 'about', 'for', 'comes', 'and', 'for', 'a', 'hot', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
"hello , how are you this evening ?","['regular', 'is', 'i', 'i', 'i', 'is', 'is', 'all', '.', '.']"
"that sounds fun , i am working on a short story , well attempting . my computer sucks .","[""i'ven"", 'scare', 'i', 'i', 'i', 'is', 'in', 'in', 'or', 'all']"
"i first started writing in philosophy class , it was that boring .","['i', 'notice', 'about', 'for', 'that', 'and', 'for', 'a', 'for', 'all']"
"that 's amazing , what do you do ?","[""i'ven"", 'scare', 'i', 'i', 'i', 'is', 'in', 'in', 'in', '.']"
were you ever in the olympics ?,"['panting', ',', 'makes', 'i', 'is', 'is', 'in', '.', '.', '.']"
how sad . what else do you like to do ?,"['regular', 'rules', 'is', 'is', 'is', '.', '.', '.', '.', '.']"
"i love photography , black and white is my favorite .","['i', 'love', 'iced', 'and', 'and', 'and', 'for', 'in', 'for', '.']"
"mine is purple , makes me feel so fancy .","['helping', 'is', 'makes', 'i', 'i', 'is', 'is', 'all', 'hot', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
hi how are you today,"['someday', ',', 'makes', 'is', 'are', '.', '.', '.', '.', '.']"
was it bad news then ?,"['we', 's', 'would', 'i', 'is', 'heights', '.', '.', '.', '.']"
sorry do you go to work,"['someday', 'scare', 'my', 'i', 'i', 'is', 'me', '.', '.', '.']"
that 's very noble of you,"['someday', 'scare', 'makes', 'i', 'is', 'is', '.', '.', '.', '.']"
that is a great film yeah,"['someday', ',', 'makes', 'i', 'i', 'me', '.', '.', '.', '.']"
i love anything with fashion,"['i', 'love', 'skiing', 'with', 'every', 'z', '.', '.', '.', '.']"
that does sound nice yeah,"['someday', 'scare', 'makes', 'is', 'is', '.', '.', '.', '.', '.']"
oh wow you are a bird ?,"['someday', 'scare', 'makes', 'i', 'i', 'is', 'in', '.', '.', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
hello how are you doing this evening ?,"['regular', 'makes', 'makes', 'i', 'is', 'is', 'is', 'all', '.', '.']"
i 'm sorry to hear you are sad . what is the matter ?,"['i', 'wait', 'makes', 'are', 'comes', 'and', 'for', 'every', '.', '.']"
oh no ! that 's terrible . did the dog service ?,"['until', ',', 'my', 'i', 'is', 'is', 'is', 'all', '.', '.']"
you should tell him . i wish i could eat ice cream .,"['regular', 'in', 'makes', 'is', 'is', 'tastier', '.', '.', '.', '.']"
"i ski competitively , so i need to stay in shape .","['i', 'drink', 'online', 'for', 'for', 'and', 'for', 'a', 'for', 'all']"
i hope to get on one this year ! my family really believes in me .,"['i', 's', 'i', 'i', 'i', 'and', 'a', 'a', 'a', 'all']"
"not really , skiing is my life . what about you ?","['people', 'rules', 'is', 'i', 'i', 'and', 'me', '.', '.', '.']"
"that 's cool . i have red hair , what about you ?","[""i'ven"", 'scare', 'my', 'i', 'i', 'i', 'in', 'in', 'hot', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
hello ! today is very cold here just like every other day,"['penn', 'free', 'makes', 'i', 'is', 'is', 'is', 'in', 'in', 'or']"
luck you . i happen to be a viking living up in nunavut .,"['my', ',', 'i', 'i', 'are', 'is', 'is', 'in', 'or', 'or']"
that does sound like fun !,"['someday', ',', 'makes', 'i', 'is', 'me', '.', '.', '.', '.']"
we do not have any peanuts up here . they would freeze .,"['we', 's', 'in', 'i', 'i', 'and', 'in', 'in', 'a', '.']"
sorry to hear that . i enjoy fine dining as well also pillaging !,"['until', 'cleats', 'is', 'is', 'me', '.', '.', '.', '.', '.']"
my beard is gigantic just like his !,"['my', 'ladys', 'are', 'are', 'i', 'is', 'is', 'all', '.', '.']"
i agree with you there .,"['i', 'weight', 'in', 'in', '.', '.', '.', '.', '.', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
hi i was able to run fast not anymore do to aging,"['someday', ',', 'i', 'i', 'i', 'is', 'in', 'in', 'or', 'or']"
wow that is awesome i 'm gon na see my mother in the hospital .,"['the', 'after', ',', 'i', 'i', 'is', 'is', 'in', 'or', 'or']"
cancer and have been getting extremely bad head aches,"['although', ',', 'i', 'i', 'is', 'is', 'in', 'in', 'in', '.']"
yeah it is and the medical bills will be brutal when i receive it,"['grandpa', 'makes', 'is', 'i', 'is', 'and', 'is', 'in', 'or', 'or']"
why is that ? do you not like it any more ?,"['whittling', 'makes', 'makes', 'is', 'is', 'is', 'in', 'in', 'in', 'or']"
i understand . i hate the familiarity of hospitals and doctors is to much to deal with,"['i', 'usually', 'like', 'for', 'and', 'and', 'with', 'a', 'for', 'all']"
"no kids , just been trying to make ends meet with what is going on .","['regular', 'of', 'my', 'i', 'is', 'is', 'is', 'in', 'or', 'or']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
hey what is up how are you,"['mistakenly', 'is', 'is', 'is', 'that', 'that', 'every', '.', '.', '.']"
oh do you like sports ?,"['someday', ',', 'i', 'i', 'is', 'is', '.', '.', '.', '.']"
wow who do you play for ?,"['it', 'a', 'makes', 'i', 'volley', 'is', 'me', '.', '.', '.']"
did you know 2 pac when he was alive ?,"[""i'ven"", 'cleats', 'i', 'i', 'volley', 'is', 'in', 'in', 'or', 'all']"
i love his music . what music do you like ?,"['i', 'live', 'near', 'on', 'michigan', '.', '.', '.', '.', '.']"
wow me too . favorite song ?,"['it', 'is', 'is', 'is', 'is', 'every', '.', '.', '.', '.']"
nice mine is california love,"['although', '.', 'disappoints', 'is', 'volley', '.', '.', '.', '.', '.']"
i dropped out and now i live off my parents,"['i', 'broke', 'in', 'for', 'for', 'and', 'for', 'a', 'for', '.']"
,"['creating', '.', '.', '.', '.', '.', '.', '.', '.', '.']"
"hey , how are you this afternoon ?","['although', 'is', 'i', 'is', 'is', 'is', 'is', 'in', '.', '.']"
finally got a day off from the hospital,"['regular', 'is', 'i', 'i', 'i', 'is', 'is', 'all', '.', '.']"
"geez , with the kids , there is hardly any free time","['my', 'cleats', 'i', 'i', 'i', 'is', 'is', 'in', 'or', 'or']"
